"","Katlengo_Contigs","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7"
"283","6D46_contig_23",0.000290673731056225,0.00024024315338949,0.000316656037669204,0.000272090987574922,0.000629164764512495,0.00014919130493662,0.000101845512204899
"284","6D46_contig_24",0.000222684134468352,0.000255197024857974,0.000153441128484252,0.000123329241544958,0.000281458711780581,0.000115889073047115,0.000120921826382104
"285","6D46_contig_25",0.000484039496483997,0.000482513629472859,0.000469416528196562,0.000618923224785931,0.000952347904022856,0.000575195392526727,0.000454820272117563
"286","6D46_contig_26",0.000111303199726267,7.05774691961921e-05,9.29428212732783e-05,7.18972121700528e-05,0.00039213183962613,5.21270824477346e-05,2.77112518792322e-05
"287","6D46_contig_27",0.000173425915852555,0.000135725902300369,0.000134370321865428,0.000101044730617371,0.000387691606920818,9.52667368872392e-05,4.53456848932891e-05
"288","6D46_contig_28",0.000706120658543296,0.000926763060432429,0.00147770586883116,0.00135301603875588,0.00126443713697684,0.00108710755693514,0.000778434257334797
"289","6D46_contig_29",0.000754435388563062,0.000917951322290251,0.00140395225102774,0.00148666502790612,0.00170873214224326,0.00108321830348827,0.000720512972022152
"290","6D46_contig_3",0.00239534020505357,0.00128005010774317,0.00150834039129847,0.00150846960352792,0.00381572486599124,0.00099475272751028,0.000835227842591116
"291","6D46_contig_30",0.000786560523613675,0.000613904239871523,0.000479147328952796,0.000404794518475067,0.000884231301965672,0.000801831742019484,0.000535974531577017
"292","6D46_contig_31",0.000168851212479276,0.000222590479772606,0.000152832210741547,0.00024161993022695,0.000457459239088409,0.000225140856321584,0.000115883416949517
"293","6D46_contig_32",0.000129422325263101,0.000182465126880613,0.00021821358038074,0.000127118298177125,0.000499039121590726,0.000115039078505345,7.30569367725214e-05
"294","6D46_contig_33",0.000198088058944357,0.000181872709082495,0.000204070107578285,0.000190142774052697,0.000442829386591603,0.000265968741227768,0.00019649796787092
